29;50;3.2673268
29;100;3.2673268
29;150;3.0693069
29;200;2.7227724
29;250;3.2673268
29;300;3.6138613
29;350;3.2178218
29;400;4.3069305
29;450;3.1683168
29;500;3.5148516
29;550;3.6633663
29;600;3.2178218
29;650;3.3168316
29;700;3.3663366
29;750;3.6138613
29;800;3.7623763
29;850;4.5049505
29;900;3.861386
29;950;3.6633663
29;1000;3.2673268
29;1050;3.1683168
29;1100;3.8118813
29;1150;3.910891
29;1200;3.3663366
29;1250;3.4653466
29;1300;2.920792
29;1350;3.3663366
29;1400;3.6138613
29;1450;3.3663366
29;1500;3.861386
